mean-episode_cost_agent_0,last-path-return_agent_1,max-path-return_agent_0,last-path-return_agent_0,total-samples,mean-episode_cost_agent_1,mean-path-return_agent_1,episode_reward,max-path-return_agent_1,episodes,mean-path-return_agent_0
0.0,50.0,50.0,10.0,541,3.3333333333333335,16.666666666666668,188,50.0,188,3.3333333333333335
16.666666666666668,-5.0,50.0,-5.0,544,16.666666666666668,-1.6666666666666667,189,50.0,189,-1.6666666666666667
3.3333333333333335,50.0,50.0,10.0,547,0.0,16.666666666666668,190,50.0,190,3.3333333333333335
6.666666666666667,50.0,50.0,10.0,550,0.0,16.666666666666668,191,50.0,191,3.3333333333333335
5.0,50.0,50.0,10.0,552,0.0,25.0,192,50.0,192,5.0
0.0,50.0,50.0,10.0,554,0.0,25.0,193,50.0,193,5.0
5.0,50.0,50.0,10.0,556,0.0,25.0,194,50.0,194,5.0
0.0,50.0,50.0,10.0,558,0.0,25.0,195,50.0,195,5.0
3.3333333333333335,50.0,50.0,10.0,561,0.0,16.666666666666668,196,50.0,196,3.3333333333333335
5.0,50.0,50.0,10.0,563,0.0,25.0,197,50.0,197,5.0
5.0,50.0,50.0,10.0,565,0.0,25.0,198,50.0,198,5.0
5.0,50.0,50.0,10.0,567,0.0,25.0,199,50.0,199,5.0
0.0,50.0,50.0,10.0,570,0.0,16.666666666666668,200,50.0,200,3.3333333333333335
0.0,50.0,50.0,10.0,572,0.0,25.0,201,50.0,201,5.0
0.0,10.0,50.0,50.0,575,0.0,3.3333333333333335,202,50.0,202,16.666666666666668
5.0,50.0,50.0,10.0,577,0.0,25.0,203,50.0,203,5.0
5.0,50.0,50.0,10.0,579,0.0,25.0,204,50.0,204,5.0
5.0,50.0,50.0,10.0,581,0.0,25.0,205,50.0,205,5.0
0.0,50.0,50.0,10.0,584,0.0,16.666666666666668,206,50.0,206,3.3333333333333335
6.666666666666667,50.0,50.0,10.0,587,0.0,16.666666666666668,207,50.0,207,3.3333333333333335
5.0,50.0,50.0,10.0,589,0.0,25.0,208,50.0,208,5.0
0.0,50.0,50.0,10.0,591,0.0,25.0,209,50.0,209,5.0
5.0,50.0,50.0,10.0,593,0.0,25.0,210,50.0,210,5.0
3.3333333333333335,50.0,50.0,10.0,596,0.0,16.666666666666668,211,50.0,211,3.3333333333333335
5.0,50.0,50.0,10.0,598,0.0,25.0,212,50.0,212,5.0
5.0,50.0,50.0,10.0,600,0.0,25.0,213,50.0,213,5.0
5.0,50.0,50.0,10.0,602,0.0,25.0,214,50.0,214,5.0
5.0,50.0,50.0,10.0,604,0.0,25.0,215,50.0,215,5.0
16.666666666666668,-5.0,50.0,-5.0,607,16.666666666666668,-1.6666666666666667,216,50.0,216,-1.6666666666666667
5.0,50.0,50.0,10.0,609,0.0,25.0,217,50.0,217,5.0
16.666666666666668,-5.0,50.0,-5.0,612,16.666666666666668,-1.6666666666666667,218,50.0,218,-1.6666666666666667
5.0,50.0,50.0,10.0,614,0.0,25.0,219,50.0,219,5.0
5.0,50.0,50.0,10.0,616,0.0,25.0,220,50.0,220,5.0
3.3333333333333335,50.0,50.0,10.0,619,0.0,16.666666666666668,221,50.0,221,3.3333333333333335
0.0,50.0,50.0,10.0,621,0.0,25.0,222,50.0,222,5.0
3.3333333333333335,50.0,50.0,10.0,624,0.0,16.666666666666668,223,50.0,223,3.3333333333333335
5.0,50.0,50.0,10.0,626,0.0,25.0,224,50.0,224,5.0
0.0,50.0,50.0,10.0,629,0.0,16.666666666666668,225,50.0,225,3.3333333333333335
3.3333333333333335,50.0,50.0,10.0,632,0.0,16.666666666666668,226,50.0,226,3.3333333333333335
5.0,50.0,50.0,10.0,634,0.0,25.0,227,50.0,227,5.0
3.3333333333333335,50.0,50.0,10.0,637,0.0,16.666666666666668,228,50.0,228,3.3333333333333335
0.0,50.0,50.0,10.0,640,0.0,16.666666666666668,229,50.0,229,3.3333333333333335
0.0,50.0,50.0,10.0,643,0.0,16.666666666666668,230,50.0,230,3.3333333333333335
5.0,50.0,50.0,10.0,645,0.0,25.0,231,50.0,231,5.0
5.0,50.0,50.0,10.0,647,0.0,25.0,232,50.0,232,5.0
5.0,50.0,50.0,10.0,649,0.0,25.0,233,50.0,233,5.0
0.0,50.0,50.0,10.0,651,0.0,25.0,234,50.0,234,5.0
5.0,50.0,50.0,10.0,653,0.0,25.0,235,50.0,235,5.0
3.3333333333333335,50.0,50.0,10.0,656,0.0,16.666666666666668,236,50.0,236,3.3333333333333335
0.0,10.0,50.0,50.0,659,0.0,3.3333333333333335,237,50.0,237,16.666666666666668
0.0,50.0,50.0,10.0,662,0.0,16.666666666666668,238,50.0,238,3.3333333333333335
5.0,50.0,50.0,10.0,664,0.0,25.0,239,50.0,239,5.0
5.0,50.0,50.0,10.0,666,0.0,25.0,240,50.0,240,5.0
5.0,50.0,50.0,10.0,668,0.0,25.0,241,50.0,241,5.0
3.3333333333333335,50.0,50.0,10.0,671,0.0,16.666666666666668,242,50.0,242,3.3333333333333335
5.0,50.0,50.0,10.0,673,0.0,25.0,243,50.0,243,5.0
3.3333333333333335,50.0,50.0,10.0,676,0.0,16.666666666666668,244,50.0,244,3.3333333333333335
25.0,-10.0,50.0,-10.0,678,25.0,-5.0,245,50.0,245,-5.0
5.0,50.0,50.0,10.0,680,0.0,25.0,246,50.0,246,5.0
5.0,50.0,50.0,10.0,682,0.0,25.0,247,50.0,247,5.0
5.0,50.0,50.0,10.0,684,0.0,25.0,248,50.0,248,5.0
5.0,50.0,50.0,10.0,686,0.0,25.0,249,50.0,249,5.0
3.3333333333333335,50.0,50.0,10.0,689,0.0,16.666666666666668,250,50.0,250,3.3333333333333335
5.0,50.0,50.0,10.0,691,0.0,25.0,251,50.0,251,5.0
3.3333333333333335,50.0,50.0,10.0,694,0.0,16.666666666666668,252,50.0,252,3.3333333333333335
5.0,50.0,50.0,10.0,696,0.0,25.0,253,50.0,253,5.0
3.3333333333333335,50.0,50.0,10.0,699,0.0,16.666666666666668,254,50.0,254,3.3333333333333335
5.0,50.0,50.0,10.0,701,0.0,25.0,255,50.0,255,5.0
